antecedents,consequents,support,confidence,lift,leverage,conviction
"frozenset({'bread', 'cake'})",frozenset({'tea'}),0.010825571755985761,0.2534246575342466,1.3193651820398058,0.0026204349952529387,1.0821670649046666
frozenset({'tea'}),"frozenset({'bread', 'cake'})",0.010825571755985761,0.05635948210205636,1.3193651820398056,0.0026204349952529387,1.0144571591196265
frozenset({'coffee'}),frozenset({'toast'}),0.03710927975813137,0.0643388569496111,1.2897330786565735,0.0083364426709524,1.015447314525456
frozenset({'toast'}),frozenset({'coffee'}),0.03710927975813137,0.7438905180840665,1.2897330786565735,0.0083364426709524,1.6525016406611484
"frozenset({'sandwich', 'cake'})",frozenset({'coffee'}),0.011410737796849856,0.7335423197492162,1.271791710441087,0.0024385627911703914,1.5883247901003672
frozenset({'coffee'}),"frozenset({'sandwich', 'cake'})",0.011410737796849856,0.019783564423402095,1.271791710441087,0.0024385627911703914,1.0043132315989762
frozenset({'pastry'}),"frozenset({'coffee', 'bread'})",0.02121226898132345,0.18193224592220827,1.2570365792205946,0.00433744661579151,1.0454744467024726
"frozenset({'coffee', 'bread'})",frozenset({'pastry'}),0.02121226898132345,0.1465633423180593,1.2570365792205946,0.00433744661579151,1.0351156801223989
frozenset({'sandwich'}),"frozenset({'tea', 'coffee'})",0.01165455698054323,0.10679177837354782,1.2499880131885532,0.0023308219866259635,1.023911038759249
"frozenset({'tea', 'coffee'})",frozenset({'sandwich'}),0.01165455698054323,0.13641552511415525,1.249988013188553,0.0023308219866259635,1.0315916500196554
frozenset({'tea'}),frozenset({'alfajores'}),0.014190276490954308,0.07387661843107388,1.2326996046916452,0.0026787318802914805,1.01505832090711
frozenset({'alfajores'}),frozenset({'tea'}),0.014190276490954308,0.2367778681855167,1.2326996046916452,0.0026787318802914805,1.0585637043380995
frozenset({'salad'}),frozenset({'coffee'}),0.013117472082703467,0.7060367454068242,1.2241034442050849,0.002401488768710127,1.4397083051780228
frozenset({'coffee'}),frozenset({'salad'}),0.013117472082703467,0.022742644572201556,1.2241034442050849,0.002401488768710127,1.004260518226485
frozenset({'sandwich'}),frozenset({'tea'}),0.024869556736724044,0.22788203753351205,1.1863866320639076,0.003907118300057313,1.046367635983377
frozenset({'tea'}),frozenset({'sandwich'}),0.024869556736724044,0.12947448591012947,1.1863866320639076,0.003907118300057313,1.0233663677396545
frozenset({'tea'}),"frozenset({'coffee', 'cake'})",0.021456088165016825,0.11170347804011171,1.1651593205333524,0.003041363425746589,1.0178248756135424
"frozenset({'coffee', 'cake'})",frozenset({'tea'}),0.021456088165016825,0.22380467955239064,1.1651593205333524,0.003041363425746589,1.0408710614494006
"frozenset({'hot chocolate', 'cake'})",frozenset({'coffee'}),0.013946457307260936,0.6682242990654206,1.1585454600046146,0.0019085547918038497,1.2756248810952222
frozenset({'coffee'}),"frozenset({'hot chocolate', 'cake'})",0.013946457307260936,0.024179912073047007,1.1585454600046143,0.0019085547918038497,1.0033909836350305
frozenset({'alfajores'}),"frozenset({'coffee', 'bread'})",0.010045350368166967,0.1676159479251424,1.158120028335881,0.0013715081735878164,1.0274931750887248
"frozenset({'coffee', 'bread'})",frozenset({'alfajores'}),0.010045350368166967,0.06940700808625336,1.158120028335881,0.0013715081735878164,1.0101830261099802
