antecedents,consequents,support,confidence,lift,leverage,conviction
frozenset({'juice'}),frozenset({'coffee'}),0.020602218700475437,0.5342465753424658,1.11674996369621,0.0021538467549000982,1.1199185855007614
frozenset({'coffee'}),frozenset({'sandwich'}),0.038246170100369785,0.0799469964664311,1.1127916493452503,0.0038766004483390126,1.0088074947776113
frozenset({'sandwich'}),frozenset({'coffee'}),0.038246170100369785,0.5323529411764706,1.1127916493452503,0.0038766004483390126,1.1153837208916
frozenset({'cake'}),frozenset({'coffee'}),0.054727945060750134,0.5269582909460835,1.1015150670946732,0.005043699519652715,1.1026636902226088
frozenset({'coffee'}),frozenset({'cake'}),0.054727945060750134,0.11439929328621908,1.101515067094673,0.005043699519652715,1.0119048917589808
frozenset({'coffee'}),frozenset({'scone'}),0.018066561014263075,0.03776501766784452,1.0931067040554998,0.0015388414904188678,1.0033429274057413
frozenset({'scone'}),frozenset({'coffee'}),0.018066561014263075,0.5229357798165138,1.0931067040554998,0.0015388414904188678,1.0933662481206066
frozenset({'coffee'}),frozenset({'cookies'}),0.02820919175911252,0.05896643109540636,1.083722854986449,0.002179297096177455,1.0048408934558366
frozenset({'cookies'}),frozenset({'coffee'}),0.02820919175911252,0.5184466019417476,1.083722854986449,0.002179297096177455,1.083173576674676
"frozenset({'coffee', 'bread'})",frozenset({'cake'}),0.010036978341257264,0.11150234741784038,1.0736212800710674,0.0006882642950967067,1.0086055766883624
frozenset({'cake'}),"frozenset({'coffee', 'bread'})",0.010036978341257264,0.09664292980671414,1.0736212800710674,0.0006882642950967067,1.007336060307534
frozenset({'hot chocolate'}),frozenset({'coffee'}),0.029582673005810883,0.5072463768115942,1.0603107236134584,0.0016826694059270814,1.0585531835555142
frozenset({'coffee'}),frozenset({'hot chocolate'}),0.029582673005810883,0.061837455830388695,1.0603107236134584,0.0016826694059270814,1.003749168061935
frozenset({'bread'}),frozenset({'pastry'}),0.029160063391442156,0.08911850177591218,1.034977447004919,0.0009854751665225349,1.0033064595714767
frozenset({'pastry'}),frozenset({'bread'}),0.029160063391442156,0.33865030674846625,1.0349774470049187,0.0009854751665225349,1.017305236458508
frozenset({'brownie'}),frozenset({'coffee'}),0.0196513470681458,0.4907651715039578,1.025859617554099,0.000495366335616889,1.0242934837648388
frozenset({'coffee'}),frozenset({'brownie'}),0.0196513470681458,0.04107773851590106,1.025859617554099,0.000495366335616889,1.0010798347228498
frozenset({'coffee'}),frozenset({'muffin'}),0.018806127839408347,0.03931095406360424,1.0221928027802587,0.00040829937861540724,1.0008884031307115
frozenset({'muffin'}),frozenset({'coffee'}),0.018806127839408347,0.489010989010989,1.0221928027802585,0.00040829937861540724,1.0207771699924455
